observationTime,salinity,ph,dissolvedoxygen,dissolvedmethane,cdom,temperature,condition
2024-04-11 18:00:56,34.608,7.879,4.414,2.144,0.181,31.327,Safe
2024-04-11 17:30:56,34.615,7.887,4.015,1.924,0.452,31.348,Safe
2024-04-11 17:00:56,34.625,7.89,4.454,1.695,0.362,31.327,Safe
2024-04-11 16:30:56,34.629,7.899,3.864,1.905,0.452,31.293,Safe
2024-04-11 16:00:56,34.645,7.937,4.452,1.952,0.362,31.208,Safe
2024-04-11 15:30:56,34.607,7.932,4.744,1.991,0.542,31.081,Safe
2024-04-11 15:00:56,34.63,7.934,4.697,1.985,0.452,31.094,Safe
2024-04-11 14:30:56,34.616,7.926,4.791,1.623,0.452,31.151,Safe
2024-04-11 14:00:56,34.604,7.917,4.793,1.901,0.271,30.978,Safe
2024-04-11 13:30:56,34.608,7.914,4.754,2.05,0.362,30.956,Safe
2024-04-11 13:00:56,34.624,7.922,4.685,1.565,0.271,30.934,Safe
2024-04-11 12:30:56,34.632,7.933,4.235,1.958,0.362,30.936,Safe
2024-04-11 12:00:56,34.615,7.913,4.674,1.711,0.452,30.949,Safe
2024-04-11 11:30:56,34.647,7.889,4.701,1.537,0.452,30.925,Safe
2024-04-11 11:00:56,34.652,7.902,4.725,1.711,0.362,30.937,Safe
2024-04-11 10:30:56,34.656,7.89,4.639,1.844,0.362,30.922,Safe
2024-04-11 10:00:56,34.658,7.905,4.577,1.521,0.452,30.924,Safe
2024-04-11 09:30:56,34.64,7.886,4.549,1.648,0.362,30.917,Safe
2024-04-11 09:00:56,34.648,7.891,4.58,2.122,0.542,30.928,Safe
2024-04-11 08:30:56,34.649,7.891,4.565,1.444,0.181,30.922,Safe
2024-04-11 08:00:56,34.662,7.911,4.456,2.034,0.362,30.943,Safe
2024-04-11 07:30:56,34.662,7.908,4.504,1.786,0.362,31.427,Safe
2024-04-11 07:00:56,34.657,7.91,4.428,1.524,0.542,31.419,Safe
2024-04-11 06:30:56,34.679,7.918,4.187,2.017,0.181,31.479,Safe
2024-04-11 06:00:56,34.683,7.926,4.134,1.882,0.452,31.433,Safe
2024-04-11 05:30:56,34.647,7.919,4.01,1.407,0.362,31.302,Safe
2024-04-11 05:00:56,34.644,7.925,3.873,1.855,0.271,31.302,Safe
2024-04-11 04:30:56,34.583,7.936,3.733,1.8579931,0.452,31.379,Safe
2024-04-11 04:00:56,34.547,7.925,3.707,1.87,0.09,31.389,Safe
2024-04-11 03:30:56,34.578,7.922,3.608,1.993,0.452,31.356,Safe
2024-04-11 03:00:56,34.551,7.889,3.672,1.706,0.181,31.353,Safe
2024-04-11 02:30:56,34.6,7.894,3.863,1.87,0.452,31.348,Safe
2024-04-11 02:00:56,34.626,7.899,3.907,2.099,0.09,31.307,Safe
2024-04-11 01:30:56,34.634,7.927,4.122,1.855,0.271,31.283,Safe
2024-04-11 01:00:56,34.647,7.92,4.19,1.752,0.633,31.25,Safe
2024-04-11 00:30:56,34.636,7.918,4.366,2.015,0.181,31.307,Safe
2024-04-11 00:00:56,34.657,7.916,4.411,1.952,0.09,31.304,Safe
2024-04-10 23:30:56,34.653,7.924,4.562,2.195,0.271,31.211,Safe
2024-04-10 23:00:56,34.663,7.933,4.65,2.001,0.181,31.129,Safe
2024-04-10 22:30:56,34.677,7.939,4.66,1.562,0.362,31.17,Safe
2024-04-10 22:00:56,34.687,7.928,4.626,1.998,0.452,30.975,Safe
2024-04-10 21:30:56,34.683,7.948,4.673,2.067,0.09,31.084,Safe
2024-04-10 21:00:56,34.685,7.914,4.563,1.636,0.09,30.946,Safe
2024-04-10 20:30:56,34.706,7.952,4.611,2.046,0.09,30.952,Safe
2024-04-10 20:00:56,34.711,7.955,4.634,1.975,0.181,30.947,Safe
2024-04-10 19:30:56,34.71,7.9569001,4.693,1.524,0.362,30.947,Safe
2024-04-10 19:00:56,34.709,7.958,4.69,1.89,0.181,30.948,Safe
